name,cr,type,size,ac,hp,movement,align,legendary,source,str,dex,con,int,wis,cha,unique
female-steeder,1,monstrosity,Large,14,30,,unaligned,0,Mordenkainen's Tome of Foes,15,16,14,2,10,3,0
fire-elemental,5,elemental,Large,13,102,,neutral,0,Monster Manual (SRD),10,17,16,6,10,7,0
fire-elemental-myrmidon,7,elemental,Medium,18,123,,neutral,0,Mordenkainen's Tome of Foes,13,18,15,9,10,10,0
fire-giant,9,giant,Huge,18,162,,lawful evil,0,Monster Manual (SRD),25,9,23,10,14,13,0
fire-giant-dreadnought,14,giant (fire giant),Huge,21,187,,lawful evil,0,Volo's Guide to Monsters,27,9,23,8,10,11,0
fire-snake,1,elemental,Medium,14,22,,neutral evil,0,Monster Manual (BR),12,14,11,7,10,8,0
firenewt-warlock-of-imix,1,humanoid (firenewt),Medium,10,33,,neutral evil,0,Volo's Guide to Monsters,13,11,12,9,11,14,0
firenewt-warrior,0.50,humanoid (firenewt),Medium,16,22,,neutral evil,0,Volo's Guide to Monsters,10,13,12,7,11,8,0
fist-of-bane,0.50,humanoid (human),Medium,18,22,,lawful evil,0,Adventures (Descent into Avernus),16,11,13,10,12,11,0
flail-snail,3,elemental,Large,16,52,,unaligned,0,Volo's Guide to Monsters,17,5,20,3,10,5,0
flameskull,4,undead,Tiny,13,40,fly,neutral evil,0,Monster Manual (SRD),1,17,14,16,10,11,0
flesh-golem,5,construct,Medium,9,93,,neutral,0,Monster Manual (SRD),19,9,18,6,10,5,0
flind,9,humanoid (gnoll),Medium,16,127,,chaotic evil,0,Volo's Guide to Monsters,20,10,19,11,13,12,0
flumph,0.125,aberration,Small,12,7,fly,lawful good,0,Monster Manual,6,15,10,14,14,11,0
flying-snake,0.125,beast,Tiny,14,5,"fly, swim",unaligned,0,Monster Manual (SRD),4,18,11,2,12,5,0
flying-sword,0.25,construct,Small,17,17,fly,unaligned,0,Monster Manual (SRD),12,15,11,1,5,1,0
fomorian,8,giant,Huge,14,149,,chaotic evil,0,Monster Manual,23,10,20,9,14,6,0
fraz-urb-luu,23,fiend (demon),Large,18,337,fly,chaotic evil,0,Mordenkainen's Tome of Foes,29,12,25,26,24,26,1
frog,0,beast,Tiny,11,1,swim,unaligned,0,Monster Manual (SRD),1,13,8,1,8,3,0
froghemoth,10,monstrosity,Huge,14,184,swim,unaligned,0,Volo's Guide to Monsters,23,13,20,2,12,5,0
frost-giant,8,giant,Huge,15,138,,neutral evil,0,Monster Manual (SRD),23,9,21,9,10,12,0
frost-giant-everlasting-one,12,giant (frost giant),Huge,15,189,,chaotic evil,0,Volo's Guide to Monsters,25,9,24,9,10,12,0
frost-salamander,9,elemental,Huge,17,168,,unaligned,0,Mordenkainen's Tome of Foes,20,12,18,7,11,7,0
galeb-duhr,6,elemental,Medium,16,85,,neutral,0,Monster Manual (BR),20,14,20,11,12,11,0
gargoyle,2,elemental,Medium,15,52,fly,chaotic evil,0,Monster Manual (SRD),15,11,16,6,11,7,0
gas-spore,0.50,plant,Large,5,1,fly,unaligned,0,Monster Manual,5,1,3,1,1,1,0
gauth,6,aberration,Medium,15,67,fly,lawful evil,0,Volo's Guide to Monsters,10,14,16,15,15,13,0
gazer,0.50,aberration,Tiny,13,13,fly,neutral evil,0,Volo's Guide to Monsters,3,17,14,3,10,7,0
gelatinous-cube,2,ooze,Large,6,84,,unaligned,0,Monster Manual (SRD),14,3,20,1,6,1,0
geryon,22,fiend (devil),Huge,19,300,fly,lawful evil,1,Mordenkainen's Tome of Foes,29,17,22,19,16,23,1
ghast,2,undead,Medium,13,36,,chaotic evil,0,Monster Manual (SRD),16,17,10,11,10,8,0
ghost,4,undead,Medium,11,45,fly,any alignment,0,Monster Manual (SRD),7,13,10,10,12,17,0
ghoul,1,undead,Medium,12,22,,chaotic evil,0,Monster Manual (SRD),13,15,10,7,10,6,0
giant-ape,7,beast,Huge,12,157,,unaligned,0,Monster Manual (SRD),23,14,18,7,12,7,0
giant-badger,0.25,beast,Medium,10,13,,unaligned,0,Monster Manual (SRD),13,10,15,2,12,5,0
giant-bat,0.25,beast,Large,13,22,fly,unaligned,0,Monster Manual (SRD),15,16,11,2,12,6,0
giant-boar,2,beast,Large,12,42,,unaligned,0,Monster Manual (SRD),17,10,16,2,7,5,0
giant-centipede,0.25,beast,Small,13,4,,unaligned,0,Monster Manual (SRD),5,14,12,1,7,3,0
giant-constrictor-snake,2,beast,Huge,12,60,swim,unaligned,0,Monster Manual (SRD),19,14,12,1,10,3,0
giant-crab,0.125,beast,Medium,15,13,swim,unaligned,0,Monster Manual (SRD),13,15,11,1,9,3,0
giant-crocodile,5,beast,Huge,14,85,swim,unaligned,0,Monster Manual (SRD),21,9,17,2,10,7,0
giant-eagle,1,beast,Large,13,26,fly,neutral good,0,Monster Manual (SRD),16,17,13,8,14,10,0
giant-elk,2,beast,Huge,14,42,,unaligned,0,Monster Manual (SRD),19,16,14,7,14,10,0
giant-fire-beetle,0,beast,Small,13,4,,unaligned,0,Monster Manual (SRD),8,10,12,1,7,3,0
giant-four-armed-gargoyle,10,elemental,Large,17,147,fly,chaotic evil,0,Adventures (Tomb of Annihilation),19,11,20,6,11,9,0
giant-frog,0.25,beast,Medium,11,18,swim,unaligned,0,Monster Manual (SRD),12,13,11,2,10,3,0
giant-goat,0.50,beast,Large,11,19,,unaligned,0,Monster Manual (SRD),17,11,12,3,12,6,0
giant-hyena,1,beast,Large,12,45,,unaligned,0,Monster Manual (SRD),16,14,14,2,12,7,0
giant-lizard,0.25,beast,Large,12,19,,unaligned,0,Monster Manual (SRD),15,12,13,2,10,5,0
giant-octopus,1,beast,Large,11,52,swim,unaligned,0,Monster Manual (SRD),17,13,13,4,10,4,0
giant-owl,0.25,beast,Large,12,19,fly,neutral,0,Monster Manual (SRD),13,15,12,8,13,10,0
giant-poisonous-snake,0.25,beast,Medium,14,11,swim,unaligned,0,Monster Manual (SRD),10,18,13,2,10,3,0
giant-rat,0.125,beast,Small,12,7,,unaligned,0,Monster Manual (SRD),7,15,11,2,10,4,0
giant-scorpion,3,beast,Large,15,52,,unaligned,0,Monster Manual (SRD),15,13,15,1,9,3,0
giant-sea-horse,0.50,beast,Large,13,16,swim,unaligned,0,Monster Manual (SRD),12,15,11,2,12,5,0
giant-shark,5,beast,Huge,13,126,swim,unaligned,0,Monster Manual (SRD),23,11,21,1,10,5,0
giant-spider,1,beast,Large,14,26,,unaligned,0,Monster Manual (SRD),14,16,12,2,11,4,0
giant-strider,1,monstrosity,Large,14,22,,neutral evil,0,Volo's Guide to Monsters,18,13,14,4,12,6,0
giant-toad,1,beast,Large,11,39,swim,unaligned,0,Monster Manual (SRD),15,13,13,2,10,3,0
giant-two-headed-goat,0.50,beast,Large,11,19,,unaligned,0,Extra (Adventurers League),17,11,12,3,12,6,0
giant-vulture,1,beast,Large,10,22,fly,neutral evil,0,Monster Manual (SRD),15,10,15,6,12,7,0
giant-wasp,0.50,beast,Medium,12,13,fly,unaligned,0,Monster Manual (SRD),10,14,10,1,10,3,0
giant-weasel,0.125,beast,Medium,13,9,,unaligned,0,Monster Manual (SRD),11,16,10,4,12,5,0
giant-wolf-spider,0.25,beast,Medium,13,11,,unaligned,0,Monster Manual (SRD),12,16,13,3,12,4,0
gibbering-mouther,2,aberration,Medium,9,67,swim,neutral,0,Monster Manual (SRD),10,8,16,3,10,6,0
giff,3,humanoid,Medium,16,60,,lawful neutral,0,Mordenkainen's Tome of Foes,18,14,17,11,12,12,0
girallon,4,monstrosity,Large,13,59,,unaligned,0,Volo's Guide to Monsters,18,16,16,5,12,7,0
githyanki-gish,10,humanoid (gith),Medium,17,123,,lawful evil,0,Mordenkainen's Tome of Foes,17,15,14,16,15,16,0
githyanki-kith--rak,12,humanoid (gith),Medium,18,180,,lawful evil,0,Mordenkainen's Tome of Foes,18,16,17,16,15,17,0
githyanki-knight,8,humanoid (gith),Medium,18,91,,lawful evil,0,Monster Manual,16,14,15,14,14,15,0
githyanki-supreme-commander,14,humanoid (gith),Medium,18,187,,lawful evil,0,Mordenkainen's Tome of Foes,19,17,18,16,16,18,0
githyanki-warrior,3,humanoid (gith),Medium,17,49,,lawful evil,0,Monster Manual,15,14,12,13,13,10,0
githzerai-anarch,16,humanoid (gith),Medium,20,144,fly,lawful neutral,0,Mordenkainen's Tome of Foes,16,21,18,18,20,14,0
githzerai-enlightned,10,humanoid (gith),Medium,18,112,,lawful neutral,0,Mordenkainen's Tome of Foes,14,19,16,17,19,13,0
githzerai-monk,2,humanoid (gith),Medium,14,38,,lawful neutral,0,Monster Manual,12,15,12,13,14,10,0
githzerai-zerth,6,humanoid (gith),Medium,17,84,,lawful neutral,0,Monster Manual,13,18,15,16,17,12,0
glabrezu,9,fiend (demon),Large,17,157,,chaotic evil,0,Monster Manual (SRD),20,15,21,19,17,16,0
gladiator,5,humanoid (any race),Medium,16,112,,any alignment,0,Monster Manual (SRD),18,15,16,10,12,15,0
gloom-weaver,9,humanoid (elf),Medium,14,104,,neutral,0,Mordenkainen's Tome of Foes,11,18,14,15,12,18,0
gnoll,0.50,humanoid (gnoll),Medium,15,22,,chaotic evil,0,Monster Manual (SRD),14,12,11,6,10,7,0
gnoll-fang-of-yeenoghu,4,fiend (gnoll),Medium,14,65,,chaotic evil,0,Monster Manual,17,15,15,10,11,13,0
gnoll-flesh-gnawer,1,humanoid (gnoll),Medium,14,22,,chaotic evil,0,Volo's Guide to Monsters,12,14,12,8,10,8,0
gnoll-hunter,0.50,humanoid (gnoll),Medium,13,22,,chaotic evil,0,Volo's Guide to Monsters,14,14,12,8,12,8,0
gnoll-pack-lord,2,humanoid (gnoll),Medium,15,49,,chaotic evil,0,Monster Manual (BR),16,14,13,8,11,9,0
gnoll-witherling,0.25,undead,Medium,12,11,,chaotic evil,0,Volo's Guide to Monsters,14,8,12,5,5,5,0
goat,0,beast,Medium,10,4,,unaligned,0,Monster Manual (SRD),12,10,11,2,10,5,0
goblin,0.25,humanoid (goblinoid),Small,15,7,,neutral evil,0,Monster Manual (SRD),8,14,10,10,8,8,0
goblin-boss,1,humanoid (goblinoid),Small,17,21,,neutral evil,0,Monster Manual,10,14,10,10,8,10,0
gold-dragon-wyrmling,3,dragon,Medium,17,60,"fly, swim",lawful good,0,Monster Manual (SRD),19,14,17,14,11,16,0
gorgon,5,monstrosity,Large,19,114,,unaligned,0,Monster Manual (SRD),20,11,18,2,12,7,0
goristro,17,fiend (demon),Huge,19,310,,chaotic evil,0,Monster Manual,25,11,25,6,13,14,0
gray-ooze,0.50,ooze,Medium,8,22,,unaligned,0,Monster Manual (SRD),12,6,16,1,6,2,0
gray-render,12,monstrosity,Large,19,189,,chaotic neutral,0,Mordenkainen's Tome of Foes,19,13,20,3,6,8,0
gray-slaad,9,aberration (shapechanger),Medium,18,127,,chaotic neutral,0,Monster Manual,17,17,16,13,8,14,0
graz-zt,24,"fiend (demon, shapechanger)",Large,20,346,,chaotic evil,1,Mordenkainen's Tome of Foes,22,15,21,23,21,26,1
green-abishai,15,fiend (devil),Medium,18,187,fly,lawful evil,0,Mordenkainen's Tome of Foes,12,17,16,17,12,19,0
green-dragon-wyrmling,2,dragon,Medium,17,38,"fly, swim",lawful evil,0,Monster Manual (SRD),15,12,13,14,11,13,0
green-hag,3,fey,Medium,17,82,,neutral evil,0,Monster Manual (SRD),18,12,16,13,14,14,0
green-slaad,8,aberration (shapechanger),Large,16,127,,chaotic neutral,0,Monster Manual,18,15,16,11,8,12,0
grell,3,aberration,Medium,12,55,fly,neutral evil,0,Monster Manual (BR),15,14,13,12,11,9,0
grick,2,monstrosity,Medium,14,27,,neutral,0,Monster Manual (SRD),14,14,11,3,14,5,0
grick-alpha,7,monstrosity,Large,18,75,,neutral,0,Monster Manual,18,16,15,4,14,9,0
griffon,2,monstrosity,Large,12,59,fly,unaligned,0,Monster Manual (SRD),18,15,16,2,13,8,0
grimlock,0.25,humanoid (grimlock),Medium,11,11,,neutral evil,0,Monster Manual (SRD),16,12,12,9,8,6,0
grung,0.25,humanoid (grung),Small,12,11,,lawful evil,0,Volo's Guide to Monsters,7,14,15,10,11,10,0
grung-elite-warrior,2,humanoid (grung),Small,13,49,,lawful evil,0,Volo's Guide to Monsters,7,16,15,10,11,12,0
grung-wildling,1,humanoid (grung),Small,13,27,,lawful evil,0,Volo's Guide to Monsters,7,16,15,10,15,11,0
guard,0.125,humanoid (any race),Medium,16,11,,any alignment,0,Monster Manual (SRD),13,12,12,10,11,10,0
guard-drake,2,dragon,Medium,14,52,,unaligned,0,Volo's Guide to Monsters,16,11,16,4,10,7,0
guardian-naga,10,monstrosity,Large,18,127,,lawful good,0,Monster Manual (SRD),19,18,16,16,19,18,0
gynosphinx,11,monstrosity,Large,17,136,fly,lawful neutral,1,Monster Manual (SRD),18,15,16,18,18,18,0
halaster-blackcloak,23,humanoid (human),Medium,14,246,,chaotic evil,1,Adventures (Dungeon of the Mad Mage),,,,,,,1
half-ogre,1,giant,Large,12,30,,any chaotic alignment,0,Monster Manual (BR),17,10,14,7,9,10,0
half-red-dragon-veteran,5,humanoid (human),Medium,18,65,,any alignment,0,Monster Manual (BR),16,13,14,10,11,10,0
harpy,1,monstrosity,Medium,11,38,fly,chaotic evil,0,Monster Manual (SRD),12,13,12,7,10,13,0
hawk,0,beast,Tiny,13,1,fly,unaligned,0,Monster Manual (SRD),5,16,8,2,14,6,0
hell-hound,3,fiend,Medium,15,45,,lawful evil,0,Monster Manual (SRD),17,12,14,6,13,6,0
hellfire-engine,16,construct,Huge,18,216,,lawful evil,0,Mordenkainen's Tome of Foes,20,16,24,2,10,1,0
hellwasp,5,fiend,Large,19,52,fly,lawful evil,0,Adventures (Descent into Avernus),18,15,12,10,10,7,0
helmed-horror,4,construct,Medium,20,60,fly,neutral,0,Monster Manual (BR),18,13,16,10,10,10,0
hezrou,8,fiend (demon),Large,16,136,,chaotic evil,0,Monster Manual (SRD),19,17,20,5,12,13,0
hill-giant,5,giant,Huge,13,105,,chaotic evil,0,Monster Manual (SRD),21,8,19,5,9,6,0
hippogriff,1,monstrosity,Large,11,19,fly,unaligned,0,Monster Manual (SRD),17,13,13,2,12,8,0
hobgoblin,0.50,humanoid (goblinoid),Medium,18,11,,lawful evil,0,Monster Manual (SRD),13,12,12,10,10,9,0
hobgoblin-captain,3,humanoid (goblinoid),Medium,17,39,,lawful evil,0,Monster Manual (BR),15,14,14,12,10,13,0
hobgoblin-devastator,4,humanoid (goblinoid),Medium,13,45,,lawful evil,0,Volo's Guide to Monsters,13,12,14,16,13,11,0
hobgoblin-iron-shadow,2,humanoid (goblinoid),Medium,15,32,,lawful evil,0,Volo's Guide to Monsters,14,16,15,14,15,11,0
hobgoblin-warlord,6,humanoid (goblinoid),Medium,20,97,,lawful evil,0,Monster Manual,16,14,16,14,11,15,0
homunculus,0,construct,Tiny,13,5,fly,neutral,0,Monster Manual (SRD),4,15,11,10,10,7,0
hook-horror,3,monstrosity,Large,15,75,,neutral,0,Monster Manual (BR),18,10,15,6,12,7,0
horned-devil,11,fiend (devil),Large,18,178,fly,lawful evil,0,Monster Manual (SRD),22,17,21,12,16,17,0
howler,8,fiend,Large,16,90,,chaotic evil,0,Mordenkainen's Tome of Foes,17,16,15,5,20,6,0
hulking-crab,5,beast,Huge,17,76,swim,unaligned,0,Adventures (Storm King's Thunder),19,8,16,3,11,3,0
hunter-shark,2,beast,Large,12,45,swim,unaligned,0,Monster Manual (SRD),18,13,15,1,10,4,0
hutijin,21,fiend (devil),Large,19,200,fly,lawful evil,1,Mordenkainen's Tome of Foes,27,15,25,23,19,25,1
hydra,8,monstrosity,Huge,15,172,swim,unaligned,0,Monster Manual (SRD),20,12,20,2,10,7,0
hydroloth,9,fiend (yugoloth),Medium,15,135,swim,neutral evil,0,Mordenkainen's Tome of Foes,12,21,16,19,10,14,0
hyena,0,beast,Medium,11,5,,unaligned,0,Monster Manual (SRD),11,13,12,2,12,5,0
ice-devil,14,fiend (devil),Large,18,180,,lawful evil,0,Monster Manual (SRD),21,14,18,18,15,18,0
ice-mephit,0.50,elemental,Small,11,21,fly,neutral evil,0,Monster Manual (SRD),7,13,10,9,11,12,0
ice-toad,1,monstrosity,Medium,12,32,swim,neutral,0,Adventures (Tyranny of Dragons),13,10,14,8,10,6,0
illusionist,3,humanoid (any race),Medium,12,38,,any alignment,0,Volo's Guide to Monsters,9,14,13,16,11,12,0
imix,19,elemental,Huge,17,325,fly,neutral evil,1,Adventures (Princes of the Apocalypse),19,24,22,15,16,23,1
imp,1,"fiend (devil, shapechanger)",Tiny,13,10,fly,lawful evil,0,Monster Manual (SRD),6,17,13,11,12,14,0
intellect-devourer,2,aberration,Tiny,12,21,,lawful evil,0,Monster Manual,6,14,13,12,11,10,0
invisible-stalker,6,elemental,Medium,14,104,fly,neutral,0,Monster Manual (SRD),16,19,14,10,15,11,0
iron-cobra,4,construct,Medium,13,45,,unaligned,0,Mordenkainen's Tome of Foes,12,16,14,3,10,1,0
iron-consul,2,humanoid (human),Medium,16,45,,lawful evil,0,Adventures (Descent into Avernus),17,11,16,12,15,16,0
iron-golem,16,construct,Large,20,210,,unaligned,0,Monster Manual (SRD),24,9,20,3,11,1,0
jackal,0,beast,Small,12,3,,unaligned,0,Monster Manual (SRD),8,15,11,3,12,6,0
jackalwere,0.50,humanoid (shapechanger),Medium,12,18,,chaotic evil,0,Monster Manual (BR),11,15,11,13,11,10,0
jaculi,0.50,beast,Large,14,16,,unaligned,0,Adventures (Tomb of Annihilation),15,14,11,2,8,3,0
jarlaxle-baenre,15,humanoid (elf),Medium,24,123,,chaotic neutral,0,Adventures (Dragon Heist),,,,,,,0
juiblex,23,fiend (demon),Huge,18,350,,chaotic evil,1,Mordenkainen's Tome of Foes,24,10,23,20,20,16,1
kamadan,4,monstrosity,Large,13,67,,unaligned,0,Adventures (Tomb of Annihilation),16,16,14,3,14,10,0
kenku,0.25,humanoid (kenku),Medium,13,13,,chaotic neutral,0,Monster Manual (BR),10,16,10,11,10,10,0
ki-rin,12,celestial,Huge,20,152,fly,lawful good,1,Volo's Guide to Monsters,21,16,16,19,20,20,0
killer-whale,3,beast,Huge,12,90,swim,unaligned,0,Monster Manual (SRD),19,10,13,3,12,7,0
knight,3,humanoid (any race),Medium,18,52,,any alignment,0,Monster Manual (SRD),16,11,14,11,11,15,0
kobold,0.125,humanoid (kobold),Small,12,5,,lawful evil,0,Monster Manual (SRD),7,15,9,8,7,8,0
kobold-dragonshield,1,humanoid (kobold),Small,15,44,,lawful evil,0,Volo's Guide to Monsters,12,15,14,8,9,10,0
kobold-inventor,0.25,humanoid (kobold),Small,12,13,,lawful evil,0,Volo's Guide to Monsters,7,15,12,8,7,8,0
kobold-scale-sorcerer,1,humanoid (kobold),Small,15,27,,lawful evil,0,Volo's Guide to Monsters,7,15,14,10,9,14,0
korred,7,fey,Small,17,102,,chaotic neutral,0,Volo's Guide to Monsters,23,14,20,10,15,9,0
kraken,23,monstrosity (titan),Gargantuan,18,472,swim,chaotic evil,1,Monster Manual (SRD),30,11,25,22,18,20,0
kraken-priest,5,humanoid (any race),Medium,10,75,swim,any evil alignment,0,Volo's Guide to Monsters,12,10,16,10,15,14,0
kruthik-hive-lord,5,monstrosity,Large,20,102,,unaligned,0,Mordenkainen's Tome of Foes,19,16,17,10,14,10,0
kuo-toa,0.25,humanoid (kuo-toa),Medium,13,18,swim,neutral evil,0,Monster Manual (BR),13,10,11,11,10,8,0
kuo-toa-archpriest,6,humanoid (kuo-toa),Medium,13,97,swim,neutral evil,0,Monster Manual (BR),16,14,16,13,16,14,0
kuo-toa-whip,1,humanoid (kuo-toa),Medium,11,65,swim,neutral evil,0,Monster Manual (BR),14,10,14,12,14,11,0
laeral-silverhand,17,humanoid (human),Medium,18,228,,chaotic good,0,Adventures (Dragon Heist),13,17,20,20,20,19,1
lamia,4,monstrosity,Large,13,97,,chaotic evil,0,Monster Manual (SRD),16,13,15,14,15,16,0
lemure,0,fiend (devil),Medium,7,13,,lawful evil,0,Monster Manual (SRD),10,5,11,1,11,3,0
leucrotta,3,monstrosity,Large,14,67,,chaotic evil,0,Volo's Guide to Monsters,18,14,15,9,12,6,0
leviathan,20,elemental,Gargantuan,17,328,swim,neutral,1,Mordenkainen's Tome of Foes,30,24,30,2,18,17,0
lich,21,undead,Medium,17,135,,any evil alignment,1,Monster Manual (SRD),11,16,16,20,14,16,0
lion,1,beast,Large,12,26,,unaligned,0,Monster Manual (SRD),17,15,13,3,12,8,0
lizard,0,beast,Tiny,10,2,,unaligned,0,Monster Manual (SRD),2,11,10,1,8,3,0
lizard-king-queen,4,humanoid (lizardfolk),Medium,15,78,swim,chaotic evil,0,Monster Manual (BR),17,12,15,11,11,15,0
lizardfolk,0.50,humanoid (lizardfolk),Medium,15,22,swim,neutral,0,Monster Manual (SRD),15,10,13,7,12,7,0
lizardfolk-shaman,2,humanoid (lizardfolk),Medium,13,27,swim,neutral,0,Monster Manual (BR),15,10,13,10,15,8,0
mage,6,humanoid (any race),Medium,12,40,,any alignment,0,Monster Manual (SRD),9,14,11,17,12,11,0
magma-mephit,0.50,elemental,Small,11,22,fly,neutral evil,0,Monster Manual (SRD),8,12,12,7,10,10,0
magmin,0.50,elemental,Small,14,9,,chaotic neutral,0,Monster Manual (SRD),7,15,12,8,11,10,0
male-steeder,0.25,monstrosity,Medium,12,13,,unaligned,0,Mordenkainen's Tome of Foes,15,12,14,2,10,3,0
mammoth,6,beast,Huge,13,126,,unaligned,0,Monster Manual (SRD),24,9,21,3,11,6,0
manes,0.125,fiend (demon),Small,9,9,,chaotic evil,0,Monster Manual,10,9,13,3,8,4,0
manshoon,13,humanoid (human),Medium,19,126,,lawful evil,0,Adventures (Dragon Heist),,,,,,,1
manticore,3,monstrosity,Large,14,68,fly,lawful evil,0,Monster Manual (SRD),17,16,17,7,12,8,0
mantrap,1,plant,Large,12,45,,unaligned,0,Adventures (Tomb of Annihilation),15,14,12,1,10,2,0
marid,11,elemental,Large,17,229,"fly, swim",chaotic neutral,0,Monster Manual,22,12,26,18,17,18,0
marilith,16,fiend (demon),Large,18,189,,chaotic evil,0,Monster Manual (SRD),18,20,20,18,16,20,0
martial-arts-adept,3,humanoid (any race),Medium,16,60,,any alignment,0,Volo's Guide to Monsters,11,17,13,11,16,10,0
marut,25,construct (inevitable),Large,22,432,fly,lawful neutral,0,Mordenkainen's Tome of Foes,28,12,26,19,15,18,0
master-of-souls,4,humanoid (human),Medium,12,45,,neutral evil,0,Adventures (Descent into Avernus),10,14,17,19,14,13,0
master-thief,5,humanoid (any race),Medium,16,84,,any alignment,0,Volo's Guide to Monsters,11,18,14,11,11,12,0
mastiff,0.125,beast,Medium,12,5,,unaligned,0,Monster Manual (SRD),13,14,12,3,12,7,0
maurezhi,7,fiend (demon),Medium,15,88,,chaotic evil,0,Mordenkainen's Tome of Foes,14,17,12,11,12,15,0
maw-demon,1,fiend (demon),Medium,13,33,,chaotic evil,0,Volo's Guide to Monsters,14,8,13,5,8,5,0
meazel,1,humanoid (meazel),Medium,13,35,,neutral evil,0,Mordenkainen's Tome of Foes,8,17,9,14,13,10,0
medusa,6,monstrosity,Medium,15,127,,lawful evil,0,Monster Manual (SRD),10,15,16,12,13,15,0
meenlock,2,fey,Small,15,31,,neutral evil,0,Volo's Guide to Monsters,7,15,12,11,10,8,0
merfolk,0.125,humanoid (merfolk),Medium,11,11,swim,neutral,0,Monster Manual (SRD),10,13,12,11,11,12,0
merregon,4,fiend (devil),Medium,16,45,,lawful evil,0,Mordenkainen's Tome of Foes,18,14,17,6,12,8,0
merrenoloth,3,fiend (yugoloth),Medium,13,40,swim,neutral evil,0,Mordenkainen's Tome of Foes,8,17,10,17,14,11,0
merrow,2,monstrosity,Large,13,45,swim,chaotic evil,0,Monster Manual (SRD),18,10,15,8,10,9,0
mezzoloth,5,fiend (yugoloth),Medium,18,75,,neutral evil,0,Monster Manual (BR),18,11,16,7,10,11,0
mimic,2,monstrosity (shapechanger),Medium,12,58,,neutral,0,Monster Manual (SRD),17,12,15,5,13,8,0
mind-flayer,7,aberration (illithid),Medium,15,71,,lawful evil,0,Monster Manual,11,12,12,19,17,17,0
mind-flayer-psion,8,aberration (illithid),Medium,15,71,,lawful evil,0,Monster Manual,11,12,12,19,17,17,0
mindwitness,5,aberration (illithid),Large,15,75,fly,lawful evil,0,Volo's Guide to Monsters,10,14,14,15,15,10,0
minotaur,3,monstrosity,Large,14,76,,chaotic evil,0,Monster Manual (SRD),18,11,16,6,16,9,0
minotaur-skeleton,2,undead,Large,12,67,,lawful evil,0,Monster Manual (SRD),18,11,15,6,8,5,0
moloch,21,fiend (devil),Large,19,253,,lawful evil,1,Mordenkainen's Tome of Foes,26,19,22,21,18,23,1
molydeus,21,fiend (demon),Huge,19,216,,chaotic evil,1,Mordenkainen's Tome of Foes,28,22,25,21,24,24,0
monodrone,0.125,construct,Medium,15,5,fly,lawful neutral,0,Monster Manual,10,13,12,4,10,5,0
morkoth,11,aberration,Medium,17,130,swim,chaotic evil,0,Volo's Guide to Monsters,14,14,14,20,15,13,0
mouth-of-grolantor,6,giant (hill giant),Huge,14,105,,chaotic evil,0,Volo's Guide to Monsters,21,10,18,5,7,5,0
mud-mephit,0.25,elemental,Small,11,27,"fly, swim",neutral evil,0,Monster Manual (SRD),8,12,12,9,11,7,0
mule,0.125,beast,Medium,10,11,,unaligned,0,Monster Manual (SRD),14,10,13,2,10,5,0
mummified-warrior,0.25,undead,Medium,8,19,,neutral,0,Extra (AideDD),13,6,14,8,6,8,0
mummy,3,undead,Medium,11,58,,lawful evil,0,Monster Manual (SRD),16,8,15,6,10,12,0
mummy-lord,15,undead,Medium,17,97,,lawful evil,1,Monster Manual (SRD),18,10,17,11,18,16,0
myconid-adult,0.50,plant,Medium,12,22,,lawful neutral,0,Monster Manual,10,10,12,10,13,7,0
myconid-sovereign,2,plant,Large,13,60,,lawful neutral,0,Monster Manual,12,10,14,13,15,10,0
myconid-sprout,0,plant,Small,10,7,,lawful neutral,0,Monster Manual,8,10,10,8,11,5,0
nabassu,15,fiend (demon),Medium,18,190,fly,chaotic evil,0,Mordenkainen's Tome of Foes,22,14,21,14,15,17,0
nagpa,17,humanoid (nagpa),Medium,19,187,,neutral evil,0,Mordenkainen's Tome of Foes,9,15,12,23,18,21,0
nalfeshnee,13,fiend (demon),Large,18,184,fly,chaotic evil,0,Monster Manual (SRD),21,10,22,19,12,15,0
narzugon,13,fiend (devil),Medium,20,112,,lawful evil,0,Mordenkainen's Tome of Foes,20,10,17,16,14,19,0
necromancer,9,humanoid (any race),Medium,12,66,,any alignment,0,Volo's Guide to Monsters,9,14,12,17,12,11,0
necromite-of-myrkul,0.50,humanoid (human),Medium,11,13,,neutral evil,0,Adventures (Descent into Avernus),10,13,15,16,11,10,0
needle-blight,0.25,plant,Medium,12,11,,neutral evil,0,Monster Manual,12,12,13,4,8,3,0
neogi,3,aberration,Small,15,33,,lawful evil,0,Volo's Guide to Monsters,6,16,14,13,12,15,0
neogi-hatchling,0.125,aberration,Tiny,11,7,,lawful evil,0,Volo's Guide to Monsters,3,13,10,6,10,9,0
neogi-master,4,aberration,Medium,15,71,,lawful evil,0,Volo's Guide to Monsters,6,16,14,16,12,18,0
neothelid,13,aberration,Gargantuan,16,325,,chaotic evil,0,Volo's Guide to Monsters,21,7,21,3,16,12,0
night-blade,0.25,humanoid (human),Medium,12,11,,chaotic evil,0,Adventures (Descent into Avernus),11,15,12,10,11,14,0
night-hag,5,fiend,Medium,17,112,,neutral evil,0,Monster Manual (SRD),18,15,16,16,14,16,0
nightmare,3,fiend,Large,13,68,fly,neutral evil,0,Monster Manual (SRD),18,15,16,10,13,15,0
